feature,mean_abs_shap
Status_checking_account_A14,0.7113409005824206
Duration_months,0.4320932639189194
Savings_account_bonds_A61,0.3415866338161463
Status_checking_account_A11,0.30809692048063114
Credit_history_A34,0.30694103057106875
Credit_amount,0.2140782031866559
Installment_rate,0.2135725545417683
Housing_A151,0.1445087756216542
Age_years,0.13906251596049543
Present_employment_since_A74,0.13677145286006048
Other_installment_plans_A141,0.1280912059684589
Property_A121,0.11924479883777157
Status_checking_account_A12,0.11594430625053158
Property_A124,0.11276303518239844
Purpose_A41,0.1118067935340847
Present_employment_since_A72,0.10825039941011935
Purpose_A40,0.10198089629343467
Other_installment_plans_A143,0.09789425017068086
Purpose_A46,0.0967107169447705
Personal_status_sex_A93,0.07376131594169036
Present_residence_since,0.06885539019848023
Number_existing_credits,0.06465089745222102
Personal_status_sex_A92,0.05433439374853752
Purpose_A43,0.05270510291666394
Property_A123,0.05208999499042462
Housing_A152,0.051093397655556295
Job_A173,0.04436936574696003
Present_employment_since_A75,0.041579628620116674
Foreign_worker_A201,0.04038292581791632
Property_A122,0.040190073824477576
Present_employment_since_A73,0.03787518382839661
Savings_account_bonds_A65,0.034287604105743955
Credit_history_A33,0.03085529528009934
Other_debtors_guarantors_A101,0.028913539023349696
Credit_history_A32,0.028506425802136783
Purpose_A42,0.0283308859301827
Other_debtors_guarantors_A103,0.02811841062909813
Savings_account_bonds_A64,0.02795058052606466
Savings_account_bonds_A62,0.02752675441551922
Telephone_A191,0.02718442702834349
Present_employment_since_A71,0.021313856319404006
Job_A174,0.019258230442337793
Status_checking_account_A13,0.016527410390343014
Telephone_A192,0.016180532744076055
Job_A172,0.016062306710759297
Credit_history_A31,0.015957289753558163
Housing_A153,0.014690549663197177
Number_people_liable,0.011083525089181066
Other_debtors_guarantors_A102,0.010159414723123194
Purpose_A49,0.008949902842061602
Personal_status_sex_A94,0.00453229811289996
Other_installment_plans_A142,0.0030173846500343585
Savings_account_bonds_A63,0.001413601161702737
Personal_status_sex_A91,0.0013297719622838325
Credit_history_A30,0.0005402575164677629
Purpose_A48,0.0
Purpose_A410,0.0
Purpose_A45,0.0
Purpose_A44,0.0
Job_A171,0.0
Foreign_worker_A202,0.0
